"ParkName","Region","State","Year","RecreationVisits"
"Badlands NP","Midwest","SD","2023","1046400"
"Big Bend NP","Intermountain","TX","2023","509129"
"Biscayne NP","Southeast","FL","2023","571242"
"Black Canyon of the Gunnison NP","Intermountain","CO","2023","357069"
"Bryce Canyon NP","Intermountain","UT","2023","2461269"
"Canyonlands NP","Intermountain","UT","2023","800322"
"Capitol Reef NP","Intermountain","UT","2023","1268861"
"Carlsbad Caverns NP","Intermountain","NM","2023","394121"
"Channel Islands NP","Pacific West","CA","2023","328746"
"Congaree NP","Southeast","SC","2023","250114"
"Crater Lake NP","Pacific West","OR","2023","559976"
"Cuyahoga Valley NP","Midwest","OH","2023","2860059"
"Death Valley NP","Pacific West","CA","2023","1099632"
"Denali NP & PRES","Alaska","AK","2023","498722"
"Dry Tortugas NP","Southeast","FL","2023","84285"
"Everglades NP","Southeast","FL","2023","810189"
"Gates of the Arctic NP & PRES","Alaska","AK","2023","11045"
"Gateway Arch NP","Midwest","MO","2023","2422836"
"Glacier Bay NP & PRES","Alaska","AK","2023","703659"
"Glacier NP","Intermountain","MT","2023","2933616"
"Grand Canyon NP","Intermountain","AZ","2023","4733705"
"Grand Teton NP","Intermountain","WY","2023","3417106"
"Great Basin NP","Pacific West","NV","2023","143265"
"Great Sand Dunes NP & PRES","Intermountain","CO","2023","512219"
"Great Smoky Mountains NP","Southeast","TN","2023","13297647"
"Guadalupe Mountains NP","Intermountain","TX","2023","227340"
"Haleakala NP","Pacific West","HI","2023","791292"
"Hawaii Volcanoes NP","Pacific West","HI","2023","1620294"
"Hot Springs NP","Midwest","AR","2023","2502967"
"Indiana Dunes NP","Midwest","IN","2023","2765892"
"Isle Royale NP","Midwest","MI","2023","28965"
"Joshua Tree NP","Pacific West","CA","2023","3270404"
"Katmai NP & PRES","Alaska","AK","2023","33763"
"Kenai Fjords NP","Alaska","AK","2023","387525"
"Kings Canyon NP","Pacific West","CA","2023","643065"
"Kobuk Valley NP","Alaska","AK","2023","17616"
"Lake Clark NP & PRES","Alaska","AK","2023","16728"
"Lassen Volcanic NP","Pacific West","CA","2023","418978"
"Mammoth Cave NP","Southeast","KY","2023","654450"
"Mesa Verde NP","Intermountain","CO","2023","505194"
"Mount Rainier NP","Pacific West","WA","2023","1674294"
"National Park of American Samoa","Pacific West","AS","2023","12135"
"New River Gorge NP & PRES","Northeast","WV","2023","1707223"
"North Cascades NP","Pacific West","WA","2023","40351"
"Olympic NP","Pacific West","WA","2023","2947503"
"Petrified Forest NP","Intermountain","AZ","2023","520491"
"Pinnacles NP","Pacific West","CA","2023","341220"
"Redwood NP","Pacific West","CA","2023","409105"
"Rocky Mountain NP","Intermountain","CO","2023","4115837"
"Saguaro NP","Intermountain","AZ","2023","1010906"
"Sequoia NP","Pacific West","CA","2023","980567"
"Shenandoah NP","Northeast","VA","2023","1576008"
"Theodore Roosevelt NP","Midwest","ND","2023","746862"
"Virgin Islands NP","Southeast","VI","2023","343685"
"Voyageurs NP","Midwest","MN","2023","220825"
"White Sands NP","Intermountain","NM","2023","729096"
"Wind Cave NP","Midwest","SD","2023","592459"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2023","78305"
"Yellowstone NP","Intermountain","WY","2023","4501382"
"Yosemite NP","Pacific West","CA","2023","3897070"
"Zion NP","Intermountain","UT","2023","4623238"
"Acadia NP","Northeast","ME","2022","3970260"
"Arches NP","Intermountain","UT","2022","1460652"
"Badlands NP","Midwest","SD","2022","1006809"
"Big Bend NP","Intermountain","TX","2022","514107"
"Biscayne NP","Southeast","FL","2022","701023"
"Black Canyon of the Gunnison NP","Intermountain","CO","2022","297257"
"Bryce Canyon NP","Intermountain","UT","2022","2354660"
"Canyonlands NP","Intermountain","UT","2022","779147"
"Capitol Reef NP","Intermountain","UT","2022","1227608"
"Carlsbad Caverns NP","Intermountain","NM","2022","390932"
"Channel Islands NP","Pacific West","CA","2022","323245"
"Congaree NP","Southeast","SC","2022","204522"
"Crater Lake NP","Pacific West","OR","2022","527259"
"Cuyahoga Valley NP","Midwest","OH","2022","2913312"
"Death Valley NP","Pacific West","CA","2022","1128862"
"Denali NP & PRES","Alaska","AK","2022","427562"
"Dry Tortugas NP","Southeast","FL","2022","78488"
"Everglades NP","Southeast","FL","2022","1155193"
"Gates of the Arctic NP & PRES","Alaska","AK","2022","9457"
"Gateway Arch NP","Midwest","MO","2022","1618774"
"Glacier Bay NP & PRES","Alaska","AK","2022","545758"
"Glacier NP","Intermountain","MT","2022","2908458"
"Grand Canyon NP","Intermountain","AZ","2022","4732101"
"Grand Teton NP","Intermountain","WY","2022","2806223"
"Great Basin NP","Pacific West","NV","2022","142115"
"Great Sand Dunes NP & PRES","Intermountain","CO","2022","493428"
"Great Smoky Mountains NP","Southeast","TN","2022","12937633"
"Guadalupe Mountains NP","Intermountain","TX","2022","219987"
"Haleakala NP","Pacific West","HI","2022","1087616"
"Hawaii Volcanoes NP","Pacific West","HI","2022","1580961"
"Hot Springs NP","Midwest","AR","2022","2646133"
"Indiana Dunes NP","Midwest","IN","2022","2834180"
"Isle Royale NP","Midwest","MI","2022","25454"
"Joshua Tree NP","Pacific West","CA","2022","3058294"
"Katmai NP & PRES","Alaska","AK","2022","33908"
"Kenai Fjords NP","Alaska","AK","2022","389943"
"Kings Canyon NP","Pacific West","CA","2022","640986"
"Kobuk Valley NP","Alaska","AK","2022","16925"
"Lake Clark NP & PRES","Alaska","AK","2022","18187"
"Lassen Volcanic NP","Pacific West","CA","2022","446291"
"Mammoth Cave NP","Southeast","KY","2022","663147"
"Mesa Verde NP","Intermountain","CO","2022","499790"
"Mount Rainier NP","Pacific West","WA","2022","1622395"
"National Park of American Samoa","Pacific West","AS","2022","1887"
"New River Gorge NP & PRES","Northeast","WV","2022","1593523"
"North Cascades NP","Pacific West","WA","2022","30154"
"Olympic NP","Pacific West","WA","2022","2432972"
"Petrified Forest NP","Intermountain","AZ","2022","505209"
"Pinnacles NP","Pacific West","CA","2022","275023"
"Redwood NP","Pacific West","CA","2022","458400"
"Rocky Mountain NP","Intermountain","CO","2022","4300424"
"Saguaro NP","Intermountain","AZ","2022","908194"
"Sequoia NP","Pacific West","CA","2022","1153198"
"Shenandoah NP","Northeast","VA","2022","1449300"
"Theodore Roosevelt NP","Midwest","ND","2022","668679"
"Virgin Islands NP","Southeast","VI","2022","196752"
"Voyageurs NP","Midwest","MN","2022","221434"
"White Sands NP","Intermountain","NM","2022","705127"
"Wind Cave NP","Midwest","SD","2022","607418"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2022","65236"
"Yellowstone NP","Intermountain","WY","2022","3290242"
"Yosemite NP","Pacific West","CA","2022","3667550"
"Zion NP","Intermountain","UT","2022","4692417"
"Acadia NP","Northeast","ME","2021","4069098"
"Arches NP","Intermountain","UT","2021","1806865"
"Badlands NP","Midwest","SD","2021","1224226"
"Big Bend NP","Intermountain","TX","2021","581220"
"Biscayne NP","Southeast","FL","2021","705655"
"Black Canyon of the Gunnison NP","Intermountain","CO","2021","308910"
"Bryce Canyon NP","Intermountain","UT","2021","2104600"
"Canyonlands NP","Intermountain","UT","2021","911594"
"Capitol Reef NP","Intermountain","UT","2021","1405353"
"Carlsbad Caverns NP","Intermountain","NM","2021","349244"
"Channel Islands NP","Pacific West","CA","2021","319252"
"Congaree NP","Southeast","SC","2021","215181"
"Crater Lake NP","Pacific West","OR","2021","647751"
"Cuyahoga Valley NP","Midwest","OH","2021","2575275"
"Death Valley NP","Pacific West","CA","2021","1146551"
"Denali NP & PRES","Alaska","AK","2021","229521"
"Dry Tortugas NP","Southeast","FL","2021","83817"
"Everglades NP","Southeast","FL","2021","942130"
"Gates of the Arctic NP & PRES","Alaska","AK","2021","7362"
"Gateway Arch NP","Midwest","MO","2021","1145081"
"Glacier Bay NP & PRES","Alaska","AK","2021","89768"
"Glacier NP","Intermountain","MT","2021","3081656"
"Grand Canyon NP","Intermountain","AZ","2021","4532677"
"Grand Teton NP","Intermountain","WY","2021","3885230"
"Great Basin NP","Pacific West","NV","2021","144875"
"Great Sand Dunes NP & PRES","Intermountain","CO","2021","602613"
"Great Smoky Mountains NP","Southeast","TN","2021","14161548"
"Guadalupe Mountains NP","Intermountain","TX","2021","243291"
"Haleakala NP","Pacific West","HI","2021","853181"
"Hawaii Volcanoes NP","Pacific West","HI","2021","1262747"
"Hot Springs NP","Midwest","AR","2021","2162884"
"Indiana Dunes NP","Midwest","IN","2021","3177210"
"Isle Royale NP","Midwest","MI","2021","25844"
"Joshua Tree NP","Pacific West","CA","2021","3064400"
"Katmai NP & PRES","Alaska","AK","2021","24764"
"Kenai Fjords NP","Alaska","AK","2021","411782"
"Kings Canyon NP","Pacific West","CA","2021","562918"
"Kobuk Valley NP","Alaska","AK","2021","11540"
"Lake Clark NP & PRES","Alaska","AK","2021","18278"
"Lassen Volcanic NP","Pacific West","CA","2021","359635"
"Mammoth Cave NP","Southeast","KY","2021","515774"
"Mesa Verde NP","Intermountain","CO","2021","548477"
"Mount Rainier NP","Pacific West","WA","2021","1670063"
"National Park of American Samoa","Pacific West","AS","2021","8495"
"New River Gorge NP & PRES","Northeast","WV","2021","1682720"
"North Cascades NP","Pacific West","WA","2021","17855"
"Olympic NP","Pacific West","WA","2021","2718925"
"Petrified Forest NP","Intermountain","AZ","2021","590334"
"Pinnacles NP","Pacific West","CA","2021","348857"
"Redwood NP","Pacific West","CA","2021","435879"
"Rocky Mountain NP","Intermountain","CO","2021","4434848"
"Saguaro NP","Intermountain","AZ","2021","1079786"
"Sequoia NP","Pacific West","CA","2021","1059548"
"Shenandoah NP","Northeast","VA","2021","1592312"
"Theodore Roosevelt NP","Midwest","ND","2021","796085"
"Virgin Islands NP","Southeast","VI","2021","323999"
"Voyageurs NP","Midwest","MN","2021","243042"
"White Sands NP","Intermountain","NM","2021","782469"
"Wind Cave NP","Midwest","SD","2021","709001"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2021","50189"
"Yellowstone NP","Intermountain","WY","2021","4860242"
"Yosemite NP","Pacific West","CA","2021","3287595"
"Zion NP","Intermountain","UT","2021","5039835"
"Acadia NP","Northeast","ME","2020","2669034"
"Arches NP","Intermountain","UT","2020","1238083"
"Badlands NP","Midwest","SD","2020","916932"
"Big Bend NP","Intermountain","TX","2020","393907"
"Biscayne NP","Southeast","FL","2020","402770"
"Black Canyon of the Gunnison NP","Intermountain","CO","2020","341620"
"Bryce Canyon NP","Intermountain","UT","2020","1464655"
"Canyonlands NP","Intermountain","UT","2020","493914"
"Capitol Reef NP","Intermountain","UT","2020","981038"
"Carlsbad Caverns NP","Intermountain","NM","2020","183835"
"Channel Islands NP","Pacific West","CA","2020","167290"
"Congaree NP","Southeast","SC","2020","119306"
"Crater Lake NP","Pacific West","OR","2020","670500"
"Cuyahoga Valley NP","Midwest","OH","2020","2755628"
"Death Valley NP","Pacific West","CA","2020","820023"
"Denali NP & PRES","Alaska","AK","2020","54850"
"Dry Tortugas NP","Southeast","FL","2020","48543"
"Everglades NP","Southeast","FL","2020","702319"
"Gates of the Arctic NP & PRES","Alaska","AK","2020","2872"
"Gateway Arch NP","Midwest","MO","2020","486021"
"Glacier Bay NP & PRES","Alaska","AK","2020","5748"
"Glacier NP","Intermountain","MT","2020","1698864"
"Grand Canyon NP","Intermountain","AZ","2020","2897098"
"Grand Teton NP","Intermountain","WY","2020","3289638"
"Great Basin NP","Pacific West","NV","2020","120248"
"Great Sand Dunes NP & PRES","Intermountain","CO","2020","461532"
"Great Smoky Mountains NP","Southeast","TN","2020","12095720"
"Guadalupe Mountains NP","Intermountain","TX","2020","151256"
"Haleakala NP","Pacific West","HI","2020","319147"
"Hawaii Volcanoes NP","Pacific West","HI","2020","589775"
"Hot Springs NP","Midwest","AR","2020","1348215"
"Indiana Dunes NP","Midwest","IN","2020","2293106"
"Isle Royale NP","Midwest","MI","2020","6493"
"Joshua Tree NP","Pacific West","CA","2020","2399542"
"Katmai NP & PRES","Alaska","AK","2020","51511"
"Kenai Fjords NP","Alaska","AK","2020","115882"
"Kings Canyon NP","Pacific West","CA","2020","415077"
"Kobuk Valley NP","Alaska","AK","2020","11185"
"Lake Clark NP & PRES","Alaska","AK","2020","4948"
"Lassen Volcanic NP","Pacific West","CA","2020","542274"
"Mammoth Cave NP","Southeast","KY","2020","290392"
"Mesa Verde NP","Intermountain","CO","2020","287477"
"Mount Rainier NP","Pacific West","WA","2020","1160754"
"National Park of American Samoa","Pacific West","AS","2020","4819"
"New River Gorge NP & PRES","Northeast","WV","2020","1054374"
"North Cascades NP","Pacific West","WA","2020","30885"
"Olympic NP","Pacific West","WA","2020","2499177"
"Petrified Forest NP","Intermountain","AZ","2020","384483"
"Pinnacles NP","Pacific West","CA","2020","165740"
"Redwood NP","Pacific West","CA","2020","265177"
"Rocky Mountain NP","Intermountain","CO","2020","3305199"
"Saguaro NP","Intermountain","AZ","2020","762226"
"Sequoia NP","Pacific West","CA","2020","796086"
"Shenandoah NP","Northeast","VA","2020","1666265"
"Theodore Roosevelt NP","Midwest","ND","2020","551303"
"Virgin Islands NP","Southeast","VI","2020","167540"
"Voyageurs NP","Midwest","MN","2020","263091"
"White Sands NP","Intermountain","NM","2020","415383"
"Wind Cave NP","Midwest","SD","2020","448405"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2020","16655"
"Yellowstone NP","Intermountain","WY","2020","3806306"
"Yosemite NP","Pacific West","CA","2020","2268313"
"Zion NP","Intermountain","UT","2020","3591254"
"Acadia NP","Northeast","ME","2019","3437286"
"Arches NP","Intermountain","UT","2019","1659702"
"Badlands NP","Midwest","SD","2019","970998"
"Big Bend NP","Intermountain","TX","2019","463832"
"Biscayne NP","Southeast","FL","2019","708522"
"Black Canyon of the Gunnison NP","Intermountain","CO","2019","432818"
"Bryce Canyon NP","Intermountain","UT","2019","2594904"
"Canyonlands NP","Intermountain","UT","2019","733996"
"Capitol Reef NP","Intermountain","UT","2019","1226519"
"Carlsbad Caverns NP","Intermountain","NM","2019","440691"
"Channel Islands NP","Pacific West","CA","2019","409630"
"Congaree NP","Southeast","SC","2019","159445"
"Crater Lake NP","Pacific West","OR","2019","704512"
"Cuyahoga Valley NP","Midwest","OH","2019","2237997"
"Death Valley NP","Pacific West","CA","2019","1740945"
"Denali NP & PRES","Alaska","AK","2019","601152"
"Dry Tortugas NP","Southeast","FL","2019","79200"
"Everglades NP","Southeast","FL","2019","1118300"
"Gates of the Arctic NP & PRES","Alaska","AK","2019","10518"
"Gateway Arch NP","Midwest","MO","2019","2055309"
"Glacier Bay NP & PRES","Alaska","AK","2019","672087"
"Glacier NP","Intermountain","MT","2019","3049839"
"Grand Canyon NP","Intermountain","AZ","2019","5974411"
"Grand Teton NP","Intermountain","WY","2019","3405614"
"Great Basin NP","Pacific West","NV","2019","131802"
"Great Sand Dunes NP & PRES","Intermountain","CO","2019","527546"
"Great Smoky Mountains NP","Southeast","TN","2019","12547743"
"Guadalupe Mountains NP","Intermountain","TX","2019","188833"
"Haleakala NP","Pacific West","HI","2019","994394"
"Hawaii Volcanoes NP","Pacific West","HI","2019","1368376"
"Hot Springs NP","Midwest","AR","2019","1467153"
"Indiana Dunes NP","Midwest","IN","2019","2134285"
"Isle Royale NP","Midwest","MI","2019","26410"
"Joshua Tree NP","Pacific West","CA","2019","2988547"
"Katmai NP & PRES","Alaska","AK","2019","84167"
"Kenai Fjords NP","Alaska","AK","2019","356601"
"Kings Canyon NP","Pacific West","CA","2019","632110"
"Kobuk Valley NP","Alaska","AK","2019","15766"
"Lake Clark NP & PRES","Alaska","AK","2019","17157"
"Lassen Volcanic NP","Pacific West","CA","2019","517039"
"Mammoth Cave NP","Southeast","KY","2019","551590"
"Mesa Verde NP","Intermountain","CO","2019","556203"
"Mount Rainier NP","Pacific West","WA","2019","1501621"
"National Park of American Samoa","Pacific West","AS","2019","60006"
"New River Gorge NP & PRES","Northeast","WV","2019","1195721"
"North Cascades NP","Pacific West","WA","2019","38208"
"Olympic NP","Pacific West","WA","2019","3245806"
"Petrified Forest NP","Intermountain","AZ","2019","643588"
"Pinnacles NP","Pacific West","CA","2019","177224"
"Redwood NP","Pacific West","CA","2019","504722"
"Rocky Mountain NP","Intermountain","CO","2019","4670053"
"Saguaro NP","Intermountain","AZ","2019","1020226"
"Sequoia NP","Pacific West","CA","2019","1246053"
"Shenandoah NP","Northeast","VA","2019","1425507"
"Theodore Roosevelt NP","Midwest","ND","2019","691658"
"Virgin Islands NP","Southeast","VI","2019","133398"
"Voyageurs NP","Midwest","MN","2019","232974"
"White Sands NP","Intermountain","NM","2019","608785"
"Wind Cave NP","Midwest","SD","2019","615350"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2019","74518"
"Yellowstone NP","Intermountain","WY","2019","4020288"
"Yosemite NP","Pacific West","CA","2019","4422861"
"Zion NP","Intermountain","UT","2019","4488268"
"Acadia NP","Northeast","ME","2018","3537575"
"Arches NP","Intermountain","UT","2018","1663557"
"Badlands NP","Midwest","SD","2018","1008942"
"Big Bend NP","Intermountain","TX","2018","440091"
"Biscayne NP","Southeast","FL","2018","469253"
"Black Canyon of the Gunnison NP","Intermountain","CO","2018","308962"
"Bryce Canyon NP","Intermountain","UT","2018","2679478"
"Canyonlands NP","Intermountain","UT","2018","739449"
"Capitol Reef NP","Intermountain","UT","2018","1227627"
"Carlsbad Caverns NP","Intermountain","NM","2018","465912"
"Channel Islands NP","Pacific West","CA","2018","366250"
"Congaree NP","Southeast","SC","2018","145929"
"Crater Lake NP","Pacific West","OR","2018","720659"
"Cuyahoga Valley NP","Midwest","OH","2018","2096053"
"Death Valley NP","Pacific West","CA","2018","1678660"
"Denali NP & PRES","Alaska","AK","2018","594660"
"Dry Tortugas NP","Southeast","FL","2018","56810"
"Everglades NP","Southeast","FL","2018","597124"
"Gates of the Arctic NP & PRES","Alaska","AK","2018","9591"
"Gateway Arch NP","Midwest","MO","2018","2016180"
"Glacier Bay NP & PRES","Alaska","AK","2018","597915"
"Glacier NP","Intermountain","MT","2018","2965309"
"Grand Canyon NP","Intermountain","AZ","2018","6380495"
"Grand Teton NP","Intermountain","WY","2018","3491151"
"Great Basin NP","Pacific West","NV","2018","153094"
"Great Sand Dunes NP & PRES","Intermountain","CO","2018","442905"
"Great Smoky Mountains NP","Southeast","TN","2018","11421200"
"Guadalupe Mountains NP","Intermountain","TX","2018","172347"
"Haleakala NP","Pacific West","HI","2018","1044084"
"Hawaii Volcanoes NP","Pacific West","HI","2018","1116891"
"Hot Springs NP","Midwest","AR","2018","1506887"
"Indiana Dunes NP","Midwest","IN","2018","1756079"
"Isle Royale NP","Midwest","MI","2018","25798"
"Joshua Tree NP","Pacific West","CA","2018","2942382"
"Katmai NP & PRES","Alaska","AK","2018","37818"
"Kenai Fjords NP","Alaska","AK","2018","321596"
"Kings Canyon NP","Pacific West","CA","2018","699023"
"Kobuk Valley NP","Alaska","AK","2018","14937"
"Lake Clark NP & PRES","Alaska","AK","2018","14479"
"Lassen Volcanic NP","Pacific West","CA","2018","499435"
"Mammoth Cave NP","Southeast","KY","2018","533206"
"Mesa Verde NP","Intermountain","CO","2018","563420"
"Mount Rainier NP","Pacific West","WA","2018","1518491"
"National Park of American Samoa","Pacific West","AS","2018","28626"
"New River Gorge NP & PRES","Northeast","WV","2018","1232627"
"North Cascades NP","Pacific West","WA","2018","30085"
"Olympic NP","Pacific West","WA","2018","3104455"
"Petrified Forest NP","Intermountain","AZ","2018","644922"
"Pinnacles NP","Pacific West","CA","2018","222152"
"Redwood NP","Pacific West","CA","2018","482536"
"Rocky Mountain NP","Intermountain","CO","2018","4590493"
"Saguaro NP","Intermountain","AZ","2018","957405"
"Sequoia NP","Pacific West","CA","2018","1229594"
"Shenandoah NP","Northeast","VA","2018","1264880"
"Theodore Roosevelt NP","Midwest","ND","2018","749389"
"Virgin Islands NP","Southeast","VI","2018","112287"
"Voyageurs NP","Midwest","MN","2018","239656"
"White Sands NP","Intermountain","NM","2018","603008"
"Wind Cave NP","Midwest","SD","2018","656397"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2018","79450"
"Yellowstone NP","Intermountain","WY","2018","4115000"
"Yosemite NP","Pacific West","CA","2018","4009436"
"Zion NP","Intermountain","UT","2018","4320033"
"Acadia NP","Northeast","ME","2017","3509271"
"Arches NP","Intermountain","UT","2017","1539028"
"Badlands NP","Midwest","SD","2017","1054325"
"Big Bend NP","Intermountain","TX","2017","440276"
"Biscayne NP","Southeast","FL","2017","446961"
"Black Canyon of the Gunnison NP","Intermountain","CO","2017","307143"
"Bryce Canyon NP","Intermountain","UT","2017","2571684"
"Canyonlands NP","Intermountain","UT","2017","742271"
"Capitol Reef NP","Intermountain","UT","2017","1150165"
"Carlsbad Caverns NP","Intermountain","NM","2017","520026"
"Channel Islands NP","Pacific West","CA","2017","383687"
"Congaree NP","Southeast","SC","2017","159595"
"Crater Lake NP","Pacific West","OR","2017","711749"
"Cuyahoga Valley NP","Midwest","OH","2017","2226879"
"Death Valley NP","Pacific West","CA","2017","1294827"
"Denali NP & PRES","Alaska","AK","2017","642809"
"Dry Tortugas NP","Southeast","FL","2017","54281"
"Everglades NP","Southeast","FL","2017","1018557"
"Gates of the Arctic NP & PRES","Alaska","AK","2017","11177"
"Gateway Arch NP","Midwest","MO","2017","1398188"
"Glacier Bay NP & PRES","Alaska","AK","2017","547057"
"Glacier NP","Intermountain","MT","2017","3305512"
"Grand Canyon NP","Intermountain","AZ","2017","6254238"
"Grand Teton NP","Intermountain","WY","2017","3317000"
"Great Basin NP","Pacific West","NV","2017","168028"
"Great Sand Dunes NP & PRES","Intermountain","CO","2017","486935"
"Great Smoky Mountains NP","Southeast","TN","2017","11338893"
"Guadalupe Mountains NP","Intermountain","TX","2017","225257"
"Haleakala NP","Pacific West","HI","2017","1112390"
"Hawaii Volcanoes NP","Pacific West","HI","2017","2016702"
"Hot Springs NP","Midwest","AR","2017","1561616"
"Indiana Dunes NP","Midwest","IN","2017","2158471"
"Isle Royale NP","Midwest","MI","2017","28196"
"Joshua Tree NP","Pacific West","CA","2017","2853619"
"Katmai NP & PRES","Alaska","AK","2017","37818"
"Kenai Fjords NP","Alaska","AK","2017","303598"
"Kings Canyon NP","Pacific West","CA","2017","692932"
"Kobuk Valley NP","Alaska","AK","2017","15500"
"Lake Clark NP & PRES","Alaska","AK","2017","22755"
"Lassen Volcanic NP","Pacific West","CA","2017","507256"
"Mammoth Cave NP","Southeast","KY","2017","587853"
"Mesa Verde NP","Intermountain","CO","2017","613788"
"Mount Rainier NP","Pacific West","WA","2017","1415867"
"National Park of American Samoa","Pacific West","AS","2017","69468"
"New River Gorge NP & PRES","Northeast","WV","2017","1168658"
"North Cascades NP","Pacific West","WA","2017","30326"
"Olympic NP","Pacific West","WA","2017","3401996"
"Petrified Forest NP","Intermountain","AZ","2017","627757"
"Pinnacles NP","Pacific West","CA","2017","233334"
"Redwood NP","Pacific West","CA","2017","445000"
"Rocky Mountain NP","Intermountain","CO","2017","4437215"
"Saguaro NP","Intermountain","AZ","2017","964760"
"Sequoia NP","Pacific West","CA","2017","1291256"
"Shenandoah NP","Northeast","VA","2017","1458874"
"Theodore Roosevelt NP","Midwest","ND","2017","708003"
"Virgin Islands NP","Southeast","VI","2017","304408"
"Voyageurs NP","Midwest","MN","2017","237250"
"White Sands NP","Intermountain","NM","2017","612468"
"Wind Cave NP","Midwest","SD","2017","619924"
"Wrangell-St. Elias NP & PRES","Alaska","AK","2017","68292"
"Yellowstone NP","Intermountain","WY","2017","4116524"
"Yosemite NP","Pacific West","CA","2017","4336890"
"Zion NP","Intermountain","UT","2017","4504812"
"Acadia NP","Northeast","ME","2016","3303393"
"Arches NP","Intermountain","UT","2016","1585718"
"Badlands NP","Midwest","SD","2016","996263"
"Big Bend NP","Intermountain","TX","2016","388290"
"Biscayne NP","Southeast","FL","2016","514709"
"Black Canyon of the Gunnison NP","Intermountain","CO","2016","238018"
"Bryce Canyon NP","Intermountain","UT","2016","2365110"
"Canyonlands NP","Intermountain","UT","2016","776218"
"Capitol Reef NP","Intermountain","UT","2016","1064904"
"Carlsbad Caverns NP","Intermountain","NM","2016","466773"
"Channel Islands NP","Pacific West","CA","2016","364807"
